z,,,,,,,,,,,,,,,,,,,,,,
Gender,Ethnicity,Economic Status,What is the approximate distance in miles that you travel to school currently/previously if you've already graduated? (put the number only),How do you travel to school?,Parent educational level,"How busy are you outside of school from 1-10 (work, sports, etc)",High School GPA range (Selected which one is the closest to your current GPA) (You can enter in your exact GPA below if you're interested),"How would you evaluate your academic performance during your early years, specifically up until the age of 12?","Did you feel academically successful during your adolescent years, roughly between the ages of 13 and 17?","On a scale of 1 to 10, how would you assess your work ethic, taking into consideration factors such as time management, organizational abilities, and performance?
","On average, how many times do you miss or skip work or school in a week?  (skipping one class = one skip)","On average, how many times do you arrive late in a week?  ",Interest level in school (1 to 10),Time spent on social media within a day (hours) ,Time spent on studying (hours),Time spent sleeping (hours),What time do you usually wake up for school,What is your interest level in reading? (1 to 10),How happy are you? (1 to 10),How safe do you feel at school? (1 to 10),How physically fit do you rate yourself? (1 to 10),Have you completed your high school education? (select no if you're still a student)
Male,Hispanic,High,0.50,Walk,College Degree,3,1.5,6,No,4,1,1,2,3,3,8,7:00:00 AM,3,7,5,4,No
Male,White,Medium,7.00,Public Transport,High School Diploma,3,3.5,7,Yes,4,1,1,4,5,0,6,5:15:00 AM,4,5,4,6,Yes
Female,Asian,Low,4.40,Car,High School Diploma,7,3,7,No,9,1,1,4,6,2,7,6:00:00 AM,10,4,6,6,No
Male,Asian,Low,2.00,Bike,College Degree,4,4,8,Yes,9,1,1,8,7,1,7,10:00:00 AM,6,8,7,7,Yes
Male,Hispanic,Medium,2.00,Car,College Degree,4,3.5,8,Yes,8,1,0,7,1,0,7,6:45:00 AM,3,4,9,6,No
Female,Hispanic,Low,2.5,Car,College Degree,4,4,8,Yes,3,1,2,9,3,3,7,6:00:00 AM,6,6,7,3,No
Male,Hispanic,Medium,14,Car,High School Diploma,3,3,8,Maybe,7,0,0,7,5,0,6,4:50:00 AM,8,6,7,4,No
Male,Other,Low,4,Public Transport,College Degree,3,2,6,No,3,0,0,5,4,1,6,7:20:00 AM,1,5,7,5,No
Male,Asian,Medium,11,Car,College Degree,7,4,9,Yes,10,8,10,1,2,2,7,9:00:00 AM,1,7,10,3,No
Male,Asian,Medium,6,Car,College Degree,3,3.25,7,Maybe,6,0,0,10,3,3,7,5:55:00 AM,7,7,8,9,Yes
Male,Asian,Low,1.7,Car,None,2,4,10,No,6,0,1,10,6,1,6,7:50:00 AM,8,10,10,4,No
Male,Asian,Medium,1,Car,College Degree,3,2.5,7,No,5,1,8,7,10,2,6,7:30:00 AM,9,5,7,3,No
Male,Asian,Low,2.8,Car,High School Diploma,7,4,9,Maybe,3,0,0,3,6,3,2,7:15:00 AM,3,2,4,1,No
Female,Asian,Medium,4.8,Car,College Degree,5,3.75,8,Yes,7,0,0,4,6,1,5,7:20:00 AM,7,6,8,7,No
Male,Asian,Medium,4.3,Car,I prefer not to share this information or I don't know,2,4,8,Maybe,6,0,0,2,7,5,5,7:05:00 AM,3,3,4,6,No
Female,Asian,Medium,1,Car,High School Diploma,7,4,8,Maybe,5,0,0,4,4,4,7,7:30:00 AM,7,8,8,6,No
Female,Asian,Low,5,Car,I prefer not to share this information or I don't know,6,4,10,Yes,7,0,0,5,6,4,10,7:00:00 AM,9,7,7,8,No
Female,Hispanic,Medium,3,Car,None,8,4,8,Yes,6,0,1,7,5,1,6,6:00:00 AM,3,10,5,8,No
Female,Asian,Medium,6,Car,College Degree,3,4,7,Maybe,6,0,0,8,5,1,7,6:00:00 AM,8,7,6,8,No
Male,Asian,Medium,2.4,Car,College Degree,1,2.5,10,No,5,0,3,5,4,2,10,7:50:00 AM,5,7,10,7,Yes
Male,Asian,Low,0.6,Walk,College Degree,5,4,9,Yes,7,0,5,4,5,2,7,8:00:00 AM,4,8,8,9,Yes
Male,Asian,Low,2,Car,High School Diploma,6,4,9,Yes,6,0,0,4,4,2,5,6:30:00 AM,3,6,4,7,Yes
Female,Asian,Low,1.4,Car,High School Diploma,5,3.75,8,No,5,1,1,6,8,3,6,8:00:00 AM,6,6,8,6,Yes
Other,Asian,Low,1.5,Car,High School Diploma,3,,10,No,4,0,0,3,5,2,6,7:20:00 AM,2,4,5,3,Yes
Female,Asian,Medium,0.25,Walk,College Degree,6,4,10,Yes,8,0,0,8,2,4,8,8:00:00 AM,9,7,5,8,Yes
Male,Hispanic,Medium,2,Car,High School Diploma,9,3,8,No,5,0,0,4,3,0,8,7:00:00 AM,9,8,5,5,Yes
Female,Asian,Low,2.4,Car,College Degree,10,,5,Yes,10,0,3,4,9,1,6,6:30:00 AM,1,8,9,4,No
Male,Asian,Medium,12,Car,I prefer not to share this information or I don't know,6,4,9,Yes,7,0,0,4,1,2,8,6:30:00 AM,6,5,9,6,No
Female,Asian,Low,2,Car,I prefer not to share this information or I don't know,7,3.5,9,Maybe,5,3,4,4,3,2,4,7:30:00 AM,8,7,6,8,Yes
Male,Asian,Low,4,Car,High School Diploma,3,3.25,9,Yes,4,0,0,7,2,0,7,6:30:00 AM,9,8,9,8,Yes
Male,Hispanic,Medium,1.7,Car,I prefer not to share this information or I don't know,4,2.75,5,No,6,0,0,7,5,3,7,6:00:00 AM,9,1,8,2,No
Male,Asian,High,3.7,Car,College Degree,7,3.25,8,No,2,1,0,4,5,1,5,7:40:00 AM,1,6,10,4,Yes
Male,White,High,1,Walk,College Degree,10,3.75,7,Yes,7,2,4,6,1,2,6,7:30:00 AM,10,5,6,7,No
Male,Asian,Medium,2.5,Car,None,7,3.75,6,Maybe,7,0,0,6,2,3,7,8:00:00 AM,5,7,8,6,No
Male,Asian,Medium,3,Car,High School Diploma,7,4,4,Yes,6,2,0,7,3,3,8,7:00:00 AM,4,7,8,6,No
Male,Asian,Low,2,Car,I prefer not to share this information or I don't know,7,3.25,6,Maybe,4,0,0,4,5,4,8,7:30:00 AM,5,3,2,1,No
Male,Asian,Medium,15.6,Car,College Degree,7,4,10,Maybe,7,1,0,1,1,3,6,7:00:00 AM,1,6,1,6,No
Male,Asian,Medium,5,Car,College Degree,8,4,7,No,3,9,10,7,1,2,7,8:00:00 AM,1,7,8,7,No
Male,Asian,Medium,1,Walk,College Degree,5,3.75,7,Yes,7,0,0,7,3,1,7,7:30:00 AM,5,4,8,6,No
Female,Asian,Medium,7,Car,College Degree,8,3.25,10,No,5,0,3,7,6,6,5,7:00:00 AM,10,4,10,4,No
Male,Asian,Medium,5,Walk,College Degree,5,3.25,6,Maybe,5,0,2,7,8,3,10,7:30:00 AM,6,6,9,5,No
Male,Asian,Medium,2,Car,High School Diploma,3,4,8,Maybe,7,0,0,5,5,2,8,7:15:00 AM,3,6,7,4,No
Male,Asian,Medium,3,Public Transport,College Degree,4,2.75,8,No,5,1,0,7,2,2,6,7:00:00 AM,9,4,7,4,Yes
Other,White,Medium,30,Car,College Degree,6,3.5,6,Yes,7,0,0,6,8,4,3,5:40:00 AM,3,2,5,5,Yes
Male,Asian,Medium,2.3,Car,I prefer not to share this information or I don't know,2,3.91,9,Yes,8,0,0,4,10,1,7,7:10:00 AM,2,6,5,2,No
Male,Hispanic,Medium,0.25,Car,I prefer not to share this information or I don't know,7,3.5,8,Yes,6,0,1,6,3,4,7,5:00:00 AM,8,6,5,4,No
Female,Other,Low,1,Car,College Degree,5,4,8,Yes,6,0,0,9,4,3,6,7:00:00 AM,7,7,6,5,Yes
Male,Asian,Low,2.8,Car,I prefer not to share this information or I don't know,7,4,5,Maybe,5,0,0,4,2,3,7,7:30:00 AM,1,8,6,7,No
Male,Hispanic,Medium,4,Car,I prefer not to share this information or I don't know,7,4,8,Yes,8,1,0,7,2,3,8,6:15:00 AM,8,9,8,8,No
Male,Asian,Medium,1,Walk,High School Diploma,6,3.75,4,Maybe,3,0,0,5,4,2,7,7:20:00 AM,4,7,8,5,Yes
Male,Asian,Medium,5,Car,High School Diploma,3,4,8,Yes,7,0,1,8,6,2,8,7:30:00 AM,8,9,9,5,No
Male,Asian,Medium,100,Car,College Degree,4,3.75,7,Yes,7,0,0,4,4,2,8,7:20:00 AM,4,6,7,5,No
Male,White,Medium,6,Bike,College Degree,8,3.75,10,Yes,8,0,0,7,2,3,8,5:30:00 AM,1,10,7,7,No
Male,Asian,Low,5,Car,High School Diploma,3,3.73,8,Maybe,3,1,2,5,6,2,8,7:00:00 AM,1,8,1,2,Yes
Female,Asian,Medium,2,Car,College Degree,5,3.9,7,No,3,0,0,5,10,4,5,6:30:00 AM,10,10,8,5,Yes
Male,White,Medium,15,Car,High School Diploma,6,3.25,6,No,7,0,0,1,8,3,9,7:00:00 AM,8,9,8,4,Yes
Female,Asian,Medium,10,Car,College Degree,5,4,10,Yes,7,0,0,7,4,3,7,7:00:00 AM,5,7,7,7,Yes
Female,Asian,Medium,3.4,Car,College Degree,8,3.25,10,Maybe,5,0,4,5,4,2,6,7:00:00 AM,9,7,6,6,Yes
Male,Asian,Medium,2,Car,College Degree,7,2.75,5,No,6,0,5,8,4,3,6,7:00:00 AM,7,7,6,7,Yes
Other,Asian,Medium,2,Car,None,6,3,7,No,4,0,0,4,7,7,4,8:30:00 AM,4,7,6,5,No
Female,Asian,Low,1.2,Car,High School Diploma,6,3.88,7,Yes,10,0,0,7,2,2,5,7:00:00 AM,6,4,3,2,Yes
Male,Asian,Medium,2,Car,High School Diploma,8,3.96,9,Yes,8,0,0,8,2,6,7,7:00:00 AM,2,9,8,6,Yes
Other,Asian,Medium,3,Car,College Degree,6,3.5,8,Maybe,6,0,0,8,5,3,6,6:30:00 AM,7,5,4,5,Yes
Male,Asian,Medium,0.5,Walk,College Degree,4,4,8,No,4,0,0,5,8,3,7,8:00:00 AM,5,6,7,8,No
Male,White,Medium,10,Car,College Degree,5,3.5,7,Maybe,5,0,0,5,7,2,8,6:30:00 AM,3,5,5,1,Yes
Male,Asian,Low,3,Bike,High School Diploma,3,2.75,10,No,3,0,4,3,5,0,6,7:30:00 AM,4,4,8,3,No
Male,Asian,Medium,2,Car,College Degree,1,3.5,7,Maybe,6,0,0,8,4,3,1,7:30:00 AM,3,8,8,4,No
Male,Asian,Medium,1,Car,College Degree,7,4,10,No,3,0,0,6,4,2,6,6:30:00 AM,4,5,9,8,No
Male,Asian,Medium,12,Car,I prefer not to share this information or I don't know,3,3.75,10,Yes,10,0,0,6,1,2,10,9:00:00 AM,7,7,7,7,Yes
Male,Asian,Medium,6,Car,High School Diploma,6,3.86,10,Maybe,5,0,0,5,3,2,7,7:00:00 AM,5,8,7,5,No
Male,Asian,Medium,1.2,Car,I prefer not to share this information or I don't know,7,3,9,No,4,1,0,4,1,0,7,7:00:00 AM,6,3,5,9,No
Male,Asian,Low,3,Car,I prefer not to share this information or I don't know,7,3.5,9,No,5,0,0,7,3,1,7,6:30:00 AM,6,7,6,6,No
Male,Asian,Medium,3.5,Car,College Degree,6,3.5,10,Maybe,7,0,0,8,5,2,8,7:20:00 AM,7,7,8,7,No
Male,Hispanic,Medium,3,Car,High School Diploma,8,3.78,9,Maybe,5,0,1,3,1,0,8,7:00:00 AM,5,8,7,7,Yes
Male,Asian,Medium,3,Car,High School Diploma,6,4,10,Yes,6,0,0,7,4,4,8,6:00:00 AM,4,7,6,7,No
Male,Asian,Low,1,Walk,College Degree,4,3.87,6,Maybe,4,0,1,5,4,2,7,7:00:00 AM,7,6,9,6,No
